module_id,duty_id,staff_id,hours_assigned,reason
M011,M011-01,S022,6.0,baseline pair not in eligibility
M001,M001-01,S024,11.0,baseline pair not in eligibility
M026,M026-01,S024,9.0,baseline pair not in eligibility
M003,M003-01,S024,2.0,baseline pair not in eligibility
M009,M009-03,S007,4.0,baseline pair not in eligibility
M006,M006-03,S012,4.0,baseline pair not in eligibility
M017,M017-02,S014,4.0,baseline pair not in eligibility
M007,M007-02,S022,5.0,baseline pair not in eligibility
M016,M016-01,S011,8.0,baseline pair not in eligibility
M006,M006-02,S020,4.0,baseline pair not in eligibility
M034,M034-03,S011,14.0,baseline pair not in eligibility
M032,M032-03,S004,4.0,baseline pair not in eligibility
M015,M015-02,S024,7.0,baseline pair not in eligibility
M031,M031-01,S010,5.0,baseline pair not in eligibility
M018,M018-02,S017,4.0,baseline pair not in eligibility
M009,M009-01,S014,7.0,baseline pair not in eligibility
M018,M018-01,S011,6.0,baseline pair not in eligibility
M022,M022-01,S013,5.0,baseline pair not in eligibility
